ell,model_1,model_2,model_3,model_4,model_5,model_6,model_7,model_8,model_9,model_10
2,1.351811639055E-10,1.80315971044E-10,1.526605691909E-10,1.213689125401E-10,1.598128803547E-10,1.401578204678E-10,1.548788050573E-10,1.289501610457E-10,1.053676718238E-10,1.526993495333E-10
3,1.28528931206E-10,1.650109960933E-10,1.420469058901E-10,1.164481566098E-10,1.523485025194E-10,1.328013394826E-10,1.443023954783E-10,1.217660612188E-10,1.014217596126E-10,1.432317310092E-10
4,1.222686986851E-10,1.5216823127E-10,1.328319146344E-10,1.114493297901E-10,1.449741682965E-10,1.257992501775E-10,1.34831037337E-10,1.150048692393E-10,9.732305417859E-11,1.34630570337E-10
5,1.177030183103E-10,1.427771000234E-10,1.260882979022E-10,1.077233076929E-10,1.393952974489E-10,1.205529428152E-10,1.278236489761E-10,1.099837090875E-10,9.427390830262E-11,1.282343916511E-10
6,1.146733076116E-10,1.362201118798E-10,1.214238296322E-10,1.052172802122E-10,1.355811282181E-10,1.169473568257E-10,1.229844485393E-10,1.065418230798E-10,9.226960522189E-11,1.237826263821E-10
7,1.12839376037E-10,1.318117313925E-10,1.182984998158E-10,1.036658620887E-10,1.331170182109E-10,1.146587389531E-10,1.198157081923E-10,1.043317660163E-10,9.112728124731E-11,1.208487616163E-10
8,1.118735608265E-10,1.289190924168E-10,1.163028547833E-10,1.029177019113E-10,1.3163538454E-10,1.132933915229E-10,1.17881401161E-10,1.031143498405E-10,9.060087703961E-11,1.190133970986E-10
9,1.115279159924E-10,1.27100765483E-10,1.151776732085E-10,1.026765783233E-10,1.309634873282E-10,1.126447741083E-10,1.168338066592E-10,1.025605849246E-10,9.057406693891E-11,1.180307213337E-10
10,1.117088707297E-10,1.262008044302E-10,1.146602099746E-10,1.028691282361E-10,1.308197805511E-10,1.125309515678E-10,1.164483068619E-10,1.025214404793E-10,9.089757038986E-11,1.176475730134E-10
11,1.122275974067E-10,1.258902648476E-10,1.146121154582E-10,1.033841582016E-10,1.310755806043E-10,1.128077383835E-10,1.165736292671E-10,1.028895940079E-10,9.145577272482E-11,1.177143228706E-10
12,1.130499294397E-10,1.260453965165E-10,1.149488101607E-10,1.041055963011E-10,1.317368924615E-10,1.134489912402E-10,1.170445598873E-10,1.035088455992E-10,9.227218933085E-11,1.181955192593E-10
